
NewRunat  10/10/2015 12:37:10
,Time,RandomCTR;CoLinCTR;accesses;click 
data,1241181000,0.03275;0.0379824529732;27697.0;1052.0
data,1241181000,0.0327846975089;0.038125382153;27803.0;1060.0
data,1241181000,0.0328191489362;0.0380604236104;27903.0;1062.0
data,1241181000,0.0328374558304;0.0381619381119;27986.0;1068.0
data,1241181300,0.032860915493;0.0382931776932;28099.0;1076.0
data,1241181300,0.0329;0.0385024840312;28180.0;1085.0
data,1241181300,0.0329388111888;0.0385744086554;28283.0;1091.0
data,1241181300,0.0329599303136;0.0385334038428;28365.0;1093.0
data,1241181300,0.0329965277778;0.0384507240264;28452.0;1094.0
data,1241181300,0.0330397923875;0.0384709715847;28541.0;1098.0
data,1241181300,0.0330982758621;0.0387732290066;28628.0;1110.0
data,1241181300,0.0331529209622;0.0386890265117;28742.0;1112.0
data,1241181600,0.0331900684932;0.0387588836887;28845.0;1118.0
data,1241181600,0.0332098976109;0.0388668163759;28945.0;1125.0
data,1241181600,0.0332602040816;0.038801859184;29045.0;1127.0
data,1241181600,0.0332898305085;0.0387650085763;29150.0;1130.0
data,1241181600,0.0333243243243;0.0387811634349;29241.0;1134.0
data,1241181600,0.0333787878788;0.0388799836295;29321.0;1140.0
data,1241181600,0.0334194630872;0.0388669749728;29408.0;1143.0
data,1241181600,0.0334715719064;0.0390182718058;29499.0;1151.0
data,1241181600,0.033505;0.0390897102086;29573.0;1156.0
data,1241181900,0.0335431893688;0.0391952008628;29672.0;1163.0
data,1241181900,0.033571192053;0.0391425595538;29763.0;1165.0
data,1241181900,0.0336089108911;0.0391953407417;29876.0;1171.0
data,1241181900,0.0336496710526;0.039228767763;29978.0;1176.0
data,1241181900,0.033693442623;0.0391453161865;30093.0;1178.0
data,1241181900,0.0337369281046;0.0392117900315;30195.0;1184.0
data,1241181900,0.0337540716612;0.039424631322;30311.0;1195.0
data,1241181900,0.0337922077922;0.0394801776608;30395.0;1200.0
data,1241181900,0.0338042071197;0.0395146745368;30495.0;1205.0
data,1241182200,0.0338403225806;0.0395441483804;30624.0;1211.0
data,1241182200,0.0338874598071;0.0395962227288;30710.0;1216.0
data,1241182200,0.0339278846154;0.0396923276645;30812.0;1223.0
data,1241182200,0.0339488817891;0.0397179636458;30918.0;1228.0
data,1241182200,0.0339633757962;0.0398388396454;31025.0;1236.0
data,1241182200,0.0339968253968;0.0398946421688;31132.0;1242.0
data,1241182200,0.0340268987342;0.0400435325374;31241.0;1251.0
data,1241182200,0.0340567823344;0.0400918572385;31353.0;1257.0
data,1241182200,0.0340455974843;0.0401513224822;31456.0;1263.0
data,1241182500,0.0341065830721;0.0402295206695;31544.0;1269.0
data,1241182500,0.03411875;0.0402364245528;31638.0;1273.0
data,1241182500,0.0341386292835;0.0402936172894;31742.0;1279.0
data,1241182500,0.0341583850932;0.0403980161969;31858.0;1287.0
data,1241182500,0.0341811145511;0.040461885092;31956.0;1293.0
data,1241182500,0.0341975308642;0.0404667561075;32051.0;1297.0
data,1241182500,0.0342169230769;0.0405623989051;32148.0;1304.0
data,1241182500,0.0342239263804;0.0405853719034;32253.0;1309.0
data,1241182500,0.0342614678899;0.0406453806448;32353.0;1315.0
data,1241182800,0.0342911585366;0.0406521605129;32446.0;1319.0
data,1241182800,0.0343313069909;0.0408244762548;32554.0;1329.0
data,1241182800,0.0343666666667;0.0409063074097;32660.0;1336.0
data,1241182800,0.0343791540785;0.0409315670594;32762.0;1341.0
