Ã¿´ÎÊ¹ÓÃ×îÓÅarm¸üĞÂA£¬b»¹ÊÇÊ¹ÓÃÏëÓ®µÄrewardÀ´¸üĞÂ£¬½á¹ûºÜ²î
New Run at  12/23/2016 10:11:40
, Time, RandomReward; LinUCBReward; 
data,1217541600000,23;12215;33
data,1241128800000,23;6262;33
data,1162335600000,23;7896;33
data,1288566000000,23;1874;33
data,1235862000000,23;10572;33
data,1298934000000,23;17819;33
data,1280613600000,23;17208;33
data,1217541600000,24;859;33
data,1212271200000,24;4193;33
data,1217541600000,24;8867;33
data,1270072800000,24;11227;33
data,1222812000000,24;4099;33
data,1293836400000,24;5691;33
data,1283292000000,24;964;33
data,1257030000000,24;11623;33
data,1196463600000,24;6571;33
data,1262300400000,24;10759;33
data,1136070000000,24;14061;33
data,1220220000000,24;4097;33
data,1254348000000,24;6350;33
data,1275343200000,24;2420;33
data,1191189600000,24;16568;33
data,1291158000000,24;14359;33
data,1264978800000,24;18115;33
data,1175378400000,24;6041;33
data,1199142000000,24;16026;33
data,1251756000000,24;11055;33
data,1275343200000,24;3747;34
data,1207000800000,24;207;34
data,1183240800000,24;9126;34
data,1228086000000,24;3735;34
data,1246399200000,24;17385;34
data,1157061600000,24;13559;34
data,1241128800000,24;18704;34
data,1262300400000,24;17285;34
data,1293836400000,24;15871;34
data,1222812000000,24;11461;34
data,1217541600000,24;5937;34
data,1214863200000,24;855;35
data,1272664800000,24;15871;35
data,1238536800000,24;14960;35
data,1288566000000,24;3361;35
data,1283292000000,24;8347;35
data,1149112800000,24;1353;35
data,1298934000000,24;13642;35
data,1283292000000,24;716;35
data,1254348000000,24;8482;35
data,1304938472580,24;187;35
data,1285884000000,24;2291;35
data,1288566000000,24;6040;35
data,1228086000000,24;2732;35
data,1193871600000,24;9475;35
data,1257030000000,24;488;36
data,1288566000000,24;8835;36
data,1133391600000,24;3042;36
data,1296514800000,24;11686;36
data,1193871600000,24;18387;36
data,1267398000000,24;1995;36
data,1298934000000,24;8361;36
data,1217541600000,24;8417;36
data,1230764400000,24;14623;36
data,1246399200000,24;3734;36
data,1170284400000,24;472;36
data,1272664800000,24;4830;36
data,1291158000000,24;7059;36
data,1304604797331,24;9126;36
data,1262300400000,24;1701;36
data,1207000800000,24;8880;36
data,1212271200000,24;3481;36
data,1243807200000,24;11055;36
data,1228086000000,24;3584;36
data,1246399200000,24;6342;36
data,1241128800000,24;3428;36
data,1188597600000,24;3660;36
data,1217541600000,24;11405;36
data,1193871600000,24;7334;36
data,1233442800000,24;3751;36
data,1196463600000,24;8401;36
data,1283292000000,25;14144;36
data,1159653600000,25;4835;36
data,1204326000000,25;14238;36
data,1214863200000,25;12370;36
data,1304935916141,25;17559;36
data,1188597600000,25;12292;36
data,1201820400000,25;8883;36
