Õı³£Êı¾İ£¬Õı³£½á¹û
New Run at  12/23/2016 10:20:37
, Time, RandomReward; LinUCBReward; 
data,1241128800000,16;11514;39
data,1254348000000,16;8175;39
data,1162335600000,16;11937;39
data,1272664800000,16;8340;39
data,1191189600000,16;15949;39
data,1191189600000,16;17436;39
data,1304596467368,16;72;40
data,1280613600000,16;12487;40
data,1204326000000,16;10572;40
data,1222812000000,17;1142;40
data,1251756000000,17;10976;40
data,1238536800000,17;13533;40
data,1291158000000,17;6134;40
data,1162335600000,17;11598;40
data,1249077600000,17;4774;40
data,1175378400000,17;7634;40
data,1214863200000,17;6257;40
data,1228086000000,17;14851;40
data,1207000800000,17;16995;40
data,1228086000000,17;12998;40
data,1191189600000,17;3626;40
data,1272664800000,17;17635;40
data,1191189600000,17;3601;40
data,1238536800000,17;15955;40
data,1264978800000,17;7947;40
data,1230764400000,17;7619;40
data,1214863200000,17;9807;40
data,1246399200000,17;8270;40
data,1212271200000,17;5545;40
data,1241128800000,17;6923;40
data,1146434400000,17;199;40
data,1257030000000,17;2597;40
data,1228086000000,17;1671;40
data,1251756000000,17;1079;40
data,1217541600000,18;12215;40
data,1241128800000,18;6262;40
data,1162335600000,18;1977;41
data,1288566000000,18;1874;41
data,1235862000000,18;10572;41
data,1298934000000,18;9425;41
data,1280613600000,18;17208;41
data,1217541600000,19;859;41
data,1212271200000,19;4193;41
data,1217541600000,19;8867;41
data,1270072800000,19;7345;41
data,1222812000000,19;4099;41
data,1293836400000,19;5691;41
data,1283292000000,19;13454;41
data,1257030000000,19;11623;41
data,1196463600000,19;6571;41
data,1262300400000,20;2186;41
data,1136070000000,20;3164;41
data,1220220000000,20;4097;41
data,1254348000000,20;6350;41
data,1275343200000,20;2420;41
data,1191189600000,20;16568;41
data,1291158000000,20;386;41
data,1264978800000,20;18115;41
data,1175378400000,20;6041;41
data,1199142000000,20;16026;41
data,1251756000000,20;11055;41
data,1275343200000,20;173;41
data,1207000800000,20;207;41
data,1183240800000,20;9126;41
data,1228086000000,20;3735;41
data,1246399200000,20;632;41
data,1157061600000,20;13559;41
data,1241128800000,20;3870;41
data,1262300400000,20;17285;41
data,1293836400000,20;15871;41
data,1222812000000,20;11461;41
data,1217541600000,20;5937;41
data,1214863200000,20;855;42
data,1272664800000,20;15871;42
data,1238536800000,20;14960;42
data,1288566000000,20;3361;42
data,1283292000000,20;8347;42
data,1149112800000,20;2559;43
data,1298934000000,21;13642;43
data,1283292000000,21;14662;43
data,1254348000000,21;8482;43
data,1304938472580,21;187;43
data,1285884000000,21;2291;43
data,1288566000000,21;6040;43
data,1228086000000,21;2732;43
data,1193871600000,21;9475;43
data,1257030000000,21;4541;43
data,1288566000000,21;8835;43
data,1133391600000,21;1470;43
data,1296514800000,21;11686;43
data,1193871600000,21;18387;43
data,1267398000000,21;8195;43
data,1298934000000,21;8361;43
data,1217541600000,21;8417;43
data,1230764400000,21;14623;43
data,1246399200000,21;3734;43
data,1170284400000,21;472;43
data,1272664800000,21;4830;43
data,1291158000000,21;6955;43
data,1304604797331,21;9126;43
data,1262300400000,21;1701;43
data,1207000800000,21;8157;43
data,1212271200000,21;3481;43
data,1243807200000,21;11055;43
data,1228086000000,21;3584;43
data,1246399200000,21;6342;43
data,1241128800000,21;3428;43
data,1188597600000,21;5904;43
data,1217541600000,21;11405;43
data,1193871600000,21;7334;43
data,1233442800000,21;3751;43
data,1196463600000,21;8401;43
data,1283292000000,21;14144;43
data,1159653600000,21;10163;43
data,1204326000000,21;8382;43
data,1214863200000,21;12370;43
data,1304935916141,21;17559;43
data,1188597600000,21;12292;43
data,1201820400000,22;1171;43
data,1175378400000,22;72;44
data,1275343200000,22;14476;44
data,1222812000000,22;1118;45
data,1207000800000,22;17534;45
data,1285884000000,22;7078;45
data,1272664800000,22;15448;45
data,1264978800000,22;5419;45
data,1285884000000,22;9416;45
data,1159653600000,22;11547;45
data,1262300400000,22;465;45
data,1175378400000,22;170;45
data,1230764400000,22;3067;46
data,1217541600000,22;36;46
data,1272664800000,22;14214;46
data,1262300400000,22;7855;46
data,1146434400000,22;2918;46
data,1222812000000,22;1962;46
data,1246399200000,22;13845;46
data,1267398000000,22;4995;46
data,1285884000000,22;11701;46
data,1235862000000,22;6955;46
data,1283292000000,22;14807;46
data,1228086000000,22;16591;46
data,1162335600000,22;709;46
data,1291158000000,22;7889;46
data,1214863200000,22;10487;46
data,1272664800000,22;12392;46
data,1249077600000,22;10720;46
data,1238536800000,23;4254;46
data,1183240800000,23;16626;46
data,1233442800000,23;16686;46
data,1254348000000,23;1383;46
data,1270072800000,23;4738;46
data,1201820400000,23;49;46
data,1225494000000,23;3813;46
data,1175378400000,23;536;46
data,1230764400000,23;5116;46
data,1264978800000,24;2611;46
data,1275343200000,24;2948;46
data,1254348000000,24;14811;46
data,1199142000000,24;13638;46
data,1233442800000,24;17951;46
data,1172703600000,24;3097;46
data,1280613600000,24;10923;46
data,1280613600000,24;4947;46
data,1288566000000,24;17289;46
data,1293836400000,24;16842;46
data,1272664800000,24;998;46
data,1251756000000,24;14634;46
data,1249077600000,24;18135;46
data,1154383200000,24;1573;46
data,1193871600000,24;18331;46
data,1285884000000,24;11703;46
data,1222812000000,24;8057;46
data,1185919200000,24;9810;46
data,1220220000000,24;17148;46
data,1243807200000,24;13406;46
data,1230764400000,24;190;47
data,1235862000000,24;5044;47
data,1257030000000,24;9802;47
data,1220220000000,24;9982;47
data,1267398000000,24;1424;48
data,1304606269069,24;11155;49
data,1288566000000,24;9265;49
data,1196463600000,24;13843;49
data,1167606000000,24;17473;49
data,1167606000000,24;5301;49
data,1249077600000,24;3590;49
data,1241128800000,24;2129;49
data,1277935200000,24;12917;49
data,1296514800000,24;1008;49
data,1212271200000,24;4896;49
data,1280613600000,24;18459;49
data,1172703600000,24;3434;49
data,1298934000000,24;1611;49
data,1122847200000,24;6835;49
data,1298934000000,24;3456;49
data,1262300400000,24;2938;50
data,1188597600000,24;16616;50
data,1249077600000,24;7713;50
data,1220220000000,24;331;51
data,1251756000000,24;10976;51
data,1235862000000,24;220;51
data,1222812000000,24;9466;51
data,1296514800000,24;4835;51
data,1209592800000,24;441;52
data,1222812000000,24;10555;52
data,1209592800000,24;5451;52
data,1149112800000,24;16855;52
data,1304695858589,24;15869;52
data,1304600812604,24;2830;52
data,1225494000000,24;12612;52
data,1254348000000,24;15998;52
data,1254348000000,24;2467;52
data,1243807200000,24;7831;52
data,1275343200000,24;1614;52
data,1304599307246,24;2936;52
data,1262300400000,24;15272;52
data,1167606000000,24;229;52
data,1259622000000,24;5628;52
data,1285884000000,24;13102;52
data,1230764400000,24;1504;52
data,1233442800000,24;3641;52
data,1254348000000,24;3308;52
data,1257030000000,24;1611;52
data,1270072800000,24;16823;52
data,1212271200000,24;7343;52
data,1291158000000,24;1611;52
data,1280613600000,24;11511;52
data,1235862000000,24;3752;52
data,1238536800000,24;4168;52
data,1267398000000,24;6570;52
data,1188597600000,24;9162;52
data,1275343200000,24;10362;52
data,1157061600000,24;1131;52
data,1249077600000,24;10597;52
data,1214863200000,24;316;53
data,1264978800000,24;728;53
data,1209592800000,24;14809;53
data,1209592800000,24;718;53
data,1264978800000,24;852;54
data,1251756000000,24;15871;54
data,1298934000000,24;18401;55
data,1207000800000,24;1962;55
data,1272664800000,24;12067;55
data,1167606000000,24;7349;55
data,1193871600000,24;13407;55
data,1285884000000,24;3177;55
data,1207000800000,24;5904;55
data,1180648800000,24;4916;55
data,1280613600000,24;17436;55
data,1188597600000,24;9;55
data,1272664800000,24;3016;55
data,1304606894617,24;9403;55
data,1277935200000,24;10500;55
data,1228086000000,24;72;56
data,1304601315641,24;6883;56
data,1277935200000,24;14454;56
data,1130799600000,24;5044;56
data,1304698110993,24;15955;56
data,1212271200000,24;18084;56
data,1285884000000,24;7855;56
data,1220220000000,24;6015;56
data,1291158000000,24;5608;56
data,1146434400000,24;621;56
data,1298934000000,24;8648;56
data,1136070000000,24;14454;56
data,1217541600000,24;1514;56
data,1201820400000,24;1919;56
data,1296514800000,24;2623;56
data,1246399200000,24;2027;57
data,1272664800000,24;3592;57
data,1291158000000,24;8195;57
data,1241128800000,24;11139;57
data,1291158000000,24;9063;57
data,1251756000000,24;12215;57
data,1272664800000,24;16049;57
data,1272664800000,24;6804;57
data,1217541600000,24;10501;57
data,1257030000000,24;416;57
data,1272664800000,24;11968;57
data,1241128800000,24;652;57
data,1283292000000,24;10806;57
data,1262300400000,24;6740;57
data,1277935200000,24;6140;57
data,1217541600000,24;14662;57
data,1296514800000,24;15935;57
data,1233442800000,24;2619;57
data,1249077600000,24;6958;57
data,1214863200000,24;15575;57
data,1251756000000,24;796;57
data,1304677297144,24;165;57
data,1275343200000,24;16205;57
data,1288566000000,24;1186;57
data,1207000800000,24;7802;57
data,1304671827260,24;15591;57
data,1304672841819,24;12292;57
data,1235862000000,24;5465;57
data,1267398000000,24;16502;57
data,1251756000000,24;525;57
data,1262300400000,24;6009;57
data,1188597600000,24;14852;57
data,1280613600000,24;1239;58
data,1285884000000,24;4844;58
data,1214863200000,24;6042;58
data,1199142000000,24;12761;58
data,1243807200000,24;2717;58
data,1304600809878,24;6572;58
data,1188597600000,24;11547;58
data,1275343200000,24;16148;58
data,1251756000000,25;4040;58
data,1283292000000,25;16616;58
data,1283292000000,25;12541;58
data,1180648800000,25;9265;58
data,1241128800000,25;7347;58
data,1277935200000,25;2347;59
data,1254348000000,25;59;59
data,1272664800000,25;1595;59
data,1246399200000,25;10486;59
data,1154383200000,25;2434;59
data,1264978800000,25;11055;59
data,1249077600000,25;10473;59
data,1296514800000,25;4493;59
data,1270072800000,26;11481;59
data,1204326000000,26;5924;59
data,1146434400000,26;689;59
data,1251756000000,26;2509;59
data,1246399200000,26;16049;59
data,1272664800000,26;4549;59
data,1228086000000,26;785;59
data,1162335600000,26;15422;59
data,1193871600000,26;24;59
data,1188597600000,26;302;59
data,1291158000000,26;11481;59
data,1143842400000,26;8595;59
data,1217541600000,26;16582;59
data,1214863200000,26;1764;59
data,1296514800000,26;16823;59
data,1272664800000,26;6560;59
data,1228086000000,26;5422;59
data,1151704800000,26;16708;59
data,1291158000000,26;1570;59
data,1233442800000,26;9475;59
data,1254348000000,26;15192;59
data,1199142000000,26;1116;59
data,1130799600000,26;11570;59
data,1228086000000,26;4704;59
data,1199142000000,26;4023;59
data,1249077600000,26;7133;59
data,1201820400000,26;9403;59
data,1185919200000,26;441;60
data,1220220000000,26;1671;60
data,1193871600000,26;6201;60
data,1162335600000,26;6771;60
data,1275343200000,26;421;60
data,1270072800000,26;2614;60
data,1212271200000,26;1895;60
data,1296514800000,26;3921;60
data,1280613600000,26;3584;60
data,1243807200000,26;1163;60
data,1298934000000,26;11726;60
data,1233442800000,26;5691;60
data,1259622000000,26;4896;60
data,1183240800000,26;4862;60
data,1272664800000,26;12325;60
data,1149112800000,27;3331;60
data,1201820400000,27;11824;60
data,1207000800000,27;1413;60
data,1183240800000,27;3444;61
data,1175378400000,27;8660;61
data,1225494000000,27;3656;61
data,1230764400000,27;16272;61
data,1201820400000,27;16818;61
data,1296514800000,27;9516;61
data,1241128800000,27;11577;61
data,1225494000000,27;523;61
data,1238536800000,27;8184;61
data,1185919200000,27;412;61
data,1283292000000,27;3258;61
data,1204326000000,27;2456;61
data,1228086000000,27;10784;61
data,1272664800000,27;14687;61
data,1254348000000,28;1188;61
data,1272664800000,28;13532;61
data,1222812000000,28;11824;61
