Êı¾İ½á¹ûÊÇ´íÎóµÄ
New Run at  12/22/2016 16:02:09
, Time, RandomReward; LinUCBReward; 
data,1283292000000,21;14662;41
data,1254348000000,21;8482;41
data,1304938472580,21;187;41
data,1285884000000,21;2291;41
data,1288566000000,21;14973;41
data,1228086000000,21;2732;41
data,1193871600000,21;9475;41
data,1257030000000,21;488;42
data,1288566000000,21;8835;42
data,1133391600000,21;13645;42
data,1296514800000,21;11686;42
data,1193871600000,21;18387;42
data,1267398000000,21;16591;42
data,1298934000000,21;8361;42
data,1217541600000,21;8417;42
data,1230764400000,21;14623;42
data,1246399200000,21;3734;42
data,1170284400000,21;472;42
data,1272664800000,21;4830;42
data,1291158000000,21;6955;42
data,1304604797331,21;9126;42
data,1262300400000,21;1701;42
data,1207000800000,21;8880;42
data,1212271200000,21;3481;42
data,1243807200000,21;11055;42
data,1228086000000,21;3584;42
data,1246399200000,21;6342;42
data,1241128800000,21;2168;42
data,1188597600000,21;5904;42
data,1217541600000,21;11405;42
data,1193871600000,21;7334;42
data,1233442800000,21;3751;42
data,1196463600000,21;8401;42
data,1283292000000,22;14144;42
data,1159653600000,22;4835;42
data,1204326000000,22;14238;42
data,1214863200000,22;4179;42
data,1304935916141,22;17559;42
data,1188597600000,22;18583;42
data,1201820400000,22;8883;42
data,1175378400000,22;7511;42
data,1275343200000,22;14476;42
data,1222812000000,22;1118;43
data,1207000800000,22;17534;43
data,1285884000000,22;5767;43
data,1272664800000,22;15448;43
data,1264978800000,22;5419;43
data,1285884000000,22;9416;43
data,1159653600000,22;11547;43
data,1262300400000,22;324;43
data,1175378400000,22;170;43
data,1230764400000,22;13396;43
data,1217541600000,22;5030;43
data,1272664800000,22;14214;43
data,1262300400000,23;7855;43
data,1146434400000,23;2918;43
data,1222812000000,23;1962;43
data,1246399200000,23;13845;43
data,1267398000000,23;11547;43
data,1285884000000,23;11701;43
data,1235862000000,23;6955;43
data,1283292000000,23;14807;43
data,1228086000000,23;16591;43
data,1162335600000,23;709;43
data,1291158000000,23;6923;43
data,1214863200000,23;10487;43
data,1272664800000,23;12392;43
data,1249077600000,23;11054;43
data,1238536800000,23;4254;43
data,1183240800000,23;16626;43
data,1233442800000,23;16686;43
data,1254348000000,24;18583;43
data,1270072800000,24;4738;43
data,1201820400000,24;49;43
data,1225494000000,24;8382;43
data,1175378400000,24;536;43
data,1230764400000,24;5116;43
data,1264978800000,24;2420;43
data,1275343200000,24;2948;43
data,1254348000000,24;16678;43
data,1199142000000,24;13638;43
data,1233442800000,24;17951;43
data,1172703600000,24;3097;43
data,1280613600000,24;10923;43
data,1280613600000,24;4947;43
data,1288566000000,24;17289;43
data,1293836400000,24;16842;43
data,1272664800000,24;8933;43
data,1251756000000,24;14634;43
data,1249077600000,24;12917;43
data,1154383200000,24;1573;43
data,1193871600000,24;18331;43
data,1285884000000,24;11703;43
data,1222812000000,24;11927;43
data,1185919200000,24;9810;43
data,1220220000000,24;1079;43
data,1243807200000,24;13406;43
data,1230764400000,25;190;44
data,1235862000000,25;5044;44
data,1257030000000,25;9802;44
data,1220220000000,25;4677;44
data,1267398000000,25;1424;45
data,1304606269069,25;2978;45
data,1288566000000,25;9265;45
data,1196463600000,25;13843;45
data,1167606000000,25;17473;45
data,1167606000000,25;5301;45
data,1249077600000,25;378;45
data,1241128800000,25;2129;45
data,1277935200000,25;12917;45
data,1296514800000,25;1008;45
data,1212271200000,25;4896;45
data,1280613600000,25;18459;45
data,1172703600000,25;6600;45
data,1298934000000,25;15984;45
data,1122847200000,25;6835;45
data,1298934000000,25;3456;45
data,1262300400000,25;2938;46
data,1188597600000,25;16616;46
data,1249077600000,25;7713;46
data,1220220000000,25;331;47
data,1251756000000,25;10976;47
data,1235862000000,25;220;47
data,1222812000000,25;9466;47
data,1296514800000,25;4835;47
data,1209592800000,25;441;48
data,1222812000000,25;10555;48
data,1209592800000,25;6296;48
data,1149112800000,25;7802;48
data,1304695858589,25;15869;48
data,1304600812604,25;10609;48
data,1225494000000,25;12612;48
data,1254348000000,25;15998;48
data,1254348000000,25;11547;48
data,1243807200000,25;7831;48
data,1275343200000,25;1614;48
data,1304599307246,25;18459;48
data,1262300400000,25;17473;48
data,1167606000000,25;229;48
data,1259622000000,26;10565;48
data,1285884000000,26;14628;48
data,1230764400000,26;1504;48
data,1233442800000,26;3641;48
data,1254348000000,26;3308;48
data,1257030000000,26;6546;48
data,1270072800000,26;16823;48
data,1212271200000,26;14350;48
data,1291158000000,26;1611;48
data,1280613600000,26;209;49
data,1235862000000,26;3752;49
data,1238536800000,26;4168;49
data,1267398000000,26;6570;49
data,1188597600000,26;9162;49
data,1275343200000,26;14350;49
data,1157061600000,26;1131;49
data,1249077600000,26;10597;49
data,1214863200000,26;316;50
data,1264978800000,26;14443;50
data,1209592800000,26;1513;50
data,1209592800000,26;718;50
data,1264978800000,26;852;51
data,1251756000000,26;15871;51
data,1298934000000,26;9679;51
data,1207000800000,26;13130;51
data,1272664800000,26;12067;51
data,1167606000000,27;678;51
data,1193871600000,27;13407;51
data,1285884000000,27;3177;51
data,1207000800000,27;5904;51
data,1180648800000,27;10473;51
data,1280613600000,27;10693;51
data,1188597600000,27;3770;51
data,1272664800000,28;944;52
data,1304606894617,28;9403;52
data,1277935200000,28;10500;52
data,1228086000000,28;7133;52
data,1304601315641,28;5319;52
data,1277935200000,28;14454;52
data,1130799600000,28;10046;52
data,1304698110993,28;15955;52
data,1212271200000,28;18084;52
data,1285884000000,28;7855;52
data,1220220000000,28;15815;52
data,1291158000000,28;5608;52
data,1146434400000,28;2481;53
data,1298934000000,28;5735;53
data,1136070000000,28;14454;53
data,1217541600000,28;1514;53
data,1201820400000,28;1919;53
data,1296514800000,28;8044;53
data,1246399200000,28;2027;54
data,1272664800000,28;3592;54
data,1291158000000,28;11739;54
data,1241128800000,28;4670;54
data,1291158000000,28;12998;54
data,1251756000000,28;17308;54
data,1272664800000,28;16049;54
data,1272664800000,28;6804;54
data,1217541600000,28;10501;54
data,1257030000000,28;416;54
data,1272664800000,28;11968;54
data,1241128800000,28;1444;54
data,1283292000000,28;10806;54
data,1262300400000,28;6740;54
data,1277935200000,28;6140;54
data,1217541600000,28;499;54
data,1296514800000,28;15935;54
data,1233442800000,28;496;54
data,1249077600000,28;6958;54
data,1214863200000,28;15575;54
data,1251756000000,28;6534;54
data,1304677297144,28;13406;54
data,1275343200000,29;16205;54
data,1288566000000,29;1186;54
data,1207000800000,29;7802;54
data,1304671827260,29;15591;54
data,1304672841819,29;12292;54
data,1235862000000,29;5465;54
data,1267398000000,29;16502;54
data,1251756000000,29;13532;54
data,1262300400000,29;6009;54
data,1188597600000,29;14852;54
data,1280613600000,29;1239;55
data,1285884000000,29;4844;55
data,1214863200000,29;6042;55
data,1199142000000,29;12761;55
data,1243807200000,30;2717;55
data,1304600809878,30;6572;55
data,1188597600000,30;11547;55
data,1275343200000,30;9513;55
data,1251756000000,30;17726;55
data,1283292000000,30;16616;55
data,1283292000000,31;12541;55
data,1180648800000,31;4738;55
data,1241128800000,31;7347;55
data,1277935200000,31;2347;56
data,1254348000000,31;11516;56
data,1272664800000,31;5410;56
data,1246399200000,31;10486;56
data,1154383200000,31;2434;56
data,1264978800000,31;11055;56
data,1249077600000,31;10473;56
data,1296514800000,31;4493;56
data,1270072800000,31;11481;56
data,1204326000000,31;5924;56
data,1146434400000,31;11183;56
data,1251756000000,31;2509;56
data,1246399200000,31;16049;56
data,1272664800000,31;4549;56
data,1228086000000,31;1097;56
data,1162335600000,31;15422;56
data,1193871600000,31;16885;56
data,1188597600000,31;11054;56
data,1291158000000,31;17473;56
data,1143842400000,31;8046;56
data,1217541600000,31;16582;56
data,1214863200000,31;15055;56
data,1296514800000,31;16823;56
data,1272664800000,31;6560;56
data,1228086000000,31;5422;56
data,1151704800000,31;16708;56
data,1291158000000,31;1608;57
data,1233442800000,31;9475;57
data,1254348000000,31;15192;57
data,1199142000000,31;1116;57
data,1130799600000,31;4457;57
data,1228086000000,31;11481;57
data,1199142000000,31;173;58
data,1249077600000,31;7334;58
data,1201820400000,31;4820;58
data,1185919200000,31;441;59
data,1220220000000,31;1671;59
data,1193871600000,31;6201;59
data,1162335600000,31;6771;59
data,1275343200000,31;11703;59
data,1270072800000,32;2614;59
data,1212271200000,32;229;59
data,1296514800000,32;3921;59
data,1280613600000,32;8710;59
data,1243807200000,32;1163;59
data,1298934000000,32;18624;59
data,1233442800000,32;5691;59
data,1259622000000,32;4896;59
data,1183240800000,32;6955;59
data,1272664800000,32;12325;59
data,1149112800000,32;3331;59
data,1201820400000,32;11824;59
data,1207000800000,32;1413;59
data,1183240800000,32;7001;59
data,1175378400000,32;8660;59
data,1225494000000,32;3656;59
data,1230764400000,32;16272;59
data,1201820400000,32;16818;59
data,1296514800000,32;9516;59
data,1241128800000,32;11577;59
data,1225494000000,32;1866;59
data,1238536800000,33;8184;59
data,1185919200000,33;412;59
data,1283292000000,33;3258;59
data,1204326000000,33;13962;59
data,1228086000000,33;16823;59
data,1272664800000,33;3834;59
data,1254348000000,33;1188;59
data,1272664800000,33;13532;59
